GDP,Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Debtor,Gender,Scholarship holder,Educational special needs,Tuition fees up to date,Target
0,0,0,0,0,1,0,0.056603774,0,1,0
1,0.3,0.735897436,0.230769231,0.741721854,0,0,0.037735849,0,1,1
0,0,0,0,0,0,0,0.037735849,0,1,0
1,0.25,0.667692308,0.230769231,0.711447493,1,0,0.056603774,0,0,1
1,0.3,0.7,0.192307692,0.653421633,1,0,0.528301887,0,0,1
1,0.25,0.619230769,0.192307692,0.628192999,1,0,0.622641509,1,1,1
1,0.4,0.772423077,0.269230769,0.704635762,1,1,0.018867925,0,0,1
0,0,0,0,0,0,0,0.094339623,0,1,0
1,0.3,0.761538461,0.230769231,0.735099338,1,1,0.075471698,0,0,1
0,0.1,0.726923077,0.192307692,0.60397351,0,0,0.018867925,1,0,0
1,0.25,0.764615385,0.230769231,0.653421633,1,0,0.018867925,0,0,1
1,0.35,0.711538461,0.269230769,0.700094607,1,1,0.018867925,0,0,1
0,0,0,0,0,1,0,0.037735849,0,0,0
1,0.25,0.592307692,0.230769231,0.560075686,1,1,0.075471698,0,0,1
1,0.25,0.646153846,0.153846154,0.701986755,1,1,0.018867925,0,0,1
0,0,0,0.192307692,0.699337748,1,0,0.056603774,0,0,0
0.5,0.1,0.592307692,0.038461538,0.635761589,1,0,0.018867925,0,0,0
1,0.4,0.783192308,0.269230769,0.704966887,1,0,0.018867925,0,0,1
1,0.2,0.659615385,0.153846154,0.662251656,1,0,0.056603774,0,0,1
0.5,0.3,0.726923077,0.230769231,0.618101545,1,0,0.018867925,0,0,0
1,0,0,0,0,1,1,0.075471698,0,0,1
0.5,0.4,0.615192308,0.269230769,0.605960265,1,0,0.056603774,0,0,0
1,0.35,0.692307693,0.269230769,0.681173132,1,0,0.018867925,0,0,1
1,0.3,0.661538462,0.230769231,0.708609272,1,1,0.037735849,0,0,1
1,0.35,0.76,0.230769231,0.704459161,1,0,0.037735849,0,0,1
0.5,0.2,0.592307692,0.192307692,0.614569536,1,1,0.018867925,1,0,0
1,0.3,0.715384616,0.230769231,0.602649007,1,0,0.075471698,0,0,1
0.5,0.2,0.7,0.192307692,0.671081678,1,0,0.018867925,0,0,0
